	reads.in	reads.out
SRR19937864.fastq.gz	94647	77576
SRR19937865.fastq.gz	56696	49619
SRR19937866.fastq.gz	107470	88163
SRR19937867.fastq.gz	96112	78057
SRR19937868.fastq.gz	126365	101645
SRR19937869.fastq.gz	91659	26051
SRR19937870.fastq.gz	104984	87225
SRR19937871.fastq.gz	105285	65843
SRR19937872.fastq.gz	64591	53035
SRR19937873.fastq.gz	122556	98237
SRR19937874.fastq.gz	63652	49294
SRR19937875.fastq.gz	97594	58977
SRR19937876.fastq.gz	57239	46634
SRR19937877.fastq.gz	96039	78485
SRR19937878.fastq.gz	36527	10225
SRR19937879.fastq.gz	107911	61329
SRR19937880.fastq.gz	100777	30606
SRR19937881.fastq.gz	85632	68156
SRR19937882.fastq.gz	162141	128742
SRR19937883.fastq.gz	432147	344135
SRR19937884.fastq.gz	96887	76763
SRR19937885.fastq.gz	101992	83117
SRR19937886.fastq.gz	115742	41457
SRR19937887.fastq.gz	212935	172913
SRR19937888.fastq.gz	94270	78902
SRR19937889.fastq.gz	84790	69683
SRR19937890.fastq.gz	122959	96582
SRR19937891.fastq.gz	94005	75754
SRR19937892.fastq.gz	111064	88800
SRR19937893.fastq.gz	108949	86578
SRR19937894.fastq.gz	122206	76308
SRR19937895.fastq.gz	86851	68738
SRR19937896.fastq.gz	69804	38894
SRR19937897.fastq.gz	87164	25387
SRR19937898.fastq.gz	96756	84177
SRR19937899.fastq.gz	100874	60316
SRR19937900.fastq.gz	105739	88498
SRR19937901.fastq.gz	56233	49171
SRR19937902.fastq.gz	39953	34686
SRR19937903.fastq.gz	108993	95938
SRR19937904.fastq.gz	98431	78654
SRR19937905.fastq.gz	183561	86356
SRR19937906.fastq.gz	71901	55788
SRR19937907.fastq.gz	69448	55278
SRR19937908.fastq.gz	85489	70065
SRR19937909.fastq.gz	83370	62135
SRR19937910.fastq.gz	80074	69092
SRR19937911.fastq.gz	45758	38188
SRR19937912.fastq.gz	82251	19525
SRR19937913.fastq.gz	53320	32578
SRR19937914.fastq.gz	7310	5859
SRR19937915.fastq.gz	62893	55664
SRR19937916.fastq.gz	163593	116711
SRR19937917.fastq.gz	69414	32739
SRR19937918.fastq.gz	81751	71048
SRR19937919.fastq.gz	111196	92460
SRR19937920.fastq.gz	48945	15888
SRR19937921.fastq.gz	57965	49713
SRR19937922.fastq.gz	99016	85477
SRR19937923.fastq.gz	50733	40833
SRR19937924.fastq.gz	453763	367321
SRR19937925.fastq.gz	54295	45696
SRR19937926.fastq.gz	76088	61394
SRR19937927.fastq.gz	49337	41703
SRR19937928.fastq.gz	94749	76599
SRR19937929.fastq.gz	118623	102075
SRR19937930.fastq.gz	74406	57499
SRR19937931.fastq.gz	67987	57924
SRR19937932.fastq.gz	70440	60465
SRR19937933.fastq.gz	61227	53658
SRR19937934.fastq.gz	50595	43974
SRR19937935.fastq.gz	57555	21479
SRR19937936.fastq.gz	48107	41652
SRR19937937.fastq.gz	58817	25896
SRR19937938.fastq.gz	93108	57533
SRR19937939.fastq.gz	3148	2473
SRR19937940.fastq.gz	92368	79809
SRR19937941.fastq.gz	65566	56990
SRR19937942.fastq.gz	55423	45559
SRR19937943.fastq.gz	91536	74479
SRR19937944.fastq.gz	52340	42301
SRR19937945.fastq.gz	106028	86140
SRR19937946.fastq.gz	58370	50976
SRR19937947.fastq.gz	87997	74178
SRR19937948.fastq.gz	99279	79233
SRR19937949.fastq.gz	119543	97764
SRR19937950.fastq.gz	76141	66922
SRR19937951.fastq.gz	114506	92312
SRR19937952.fastq.gz	43425	34220
SRR19937953.fastq.gz	60128	49096
SRR19937954.fastq.gz	65821	52705
SRR19937955.fastq.gz	58465	48770
SRR19937956.fastq.gz	51898	38729
SRR19937957.fastq.gz	123617	94503
SRR19937958.fastq.gz	59703	51275
SRR19937959.fastq.gz	66434	36418
SRR19937960.fastq.gz	61290	53629
